Batch mtDNA	Sequence Released Date	No. of Samples	Analysis Code	Batch mtDNA-Analysis Code	Analyst(s)	Batch Receive Time	No. of Samples Analysed by Sequencher	Sequencher Analysis Transfer Time	1st Review	Review Finish	2nd Review	No. of Samples Passed by Sequencher Analysis (1st run)	No. of Samples Passed by Sequencher Analysis (rerun)	No. of Samples Passed by Sequencher Analysis Transfered to Next Stage	Sequencher Analysis Results from Lab to Sciences Date	Sequencher Analysis (Batches)	Analyst(s).1	Sequencher vs Pipeline Comparison	Regenerated Reports by the Science Team	Regenerated Reports Realeased Date	Numbers of Reports Released	Reports Check by Nam	Final Reports	Note1	Done	Run1 Analysis Results Released Date	Rerun Analysis Results Released Date	Note1.1	Note 2	Note 2.1	Unnamed: 31
MS_260326_001	2026-03-31	90	V059	MS_260326_001_V059	Q	2026-04-01 13:50:36.130000	90.0	2026-04-02 11:08:00.220000	P	2026-04-02 13:39:18.400000	N	90.0	-												DONE	2026-04-05					
MS_260326_002	2026-04-01	90	V060	MS_260326_002_V060	T	2026-04-02 08:42:18.870000	90.0	2026-04-02 12:00:56.670000	P	2026-04-03 10:16:52.260000	N	88.0													 	2026-04-05					
MS_260326_003	2026-04-01	90	V061	MS_260326_003_V061	X	2026-04-02 09:11:02.260000	90.0	2026-04-02 16:03:53.740000	H	2026-04-03 11:30:51.800000	N	88.0													 	2026-04-05					
MS_260326_004	2026-04-01	90	V062	MS_260326_004_V062	Q	2026-04-02 13:05:09.150000	90.0	2026-04-03 11:21:04.670000	P	2026-04-03 13:34:19.030000	N	89.0													 	2026-04-05					
MS_260326_005	2026-04-02	90	V063	MS_260326_005_V063	T	2026-04-02 11:30:06.440000	90.0	2026-04-02 17:21:48.790000	P	2026-04-03 11:32:32.240000	N	90.0	-												DONE	2026-04-05					
MS_260326_006	2026-04-02	90	V064	MS_260326_006_V064	X	2026-04-02 16:44:02.830000	90.0	2026-04-03 14:25:50.850000	P	2026-04-03 16:27:27.050000	N	89.0													 	2026-04-08					
MS_280326_001	2026-04-02	90	V065	MS_280326_001_V065	T	2026-04-03 09:21:07.300000	90.0	2026-04-03 16:04:32.210000	P	2026-04-04 13:51:31.580000	N	88.0													 	2026-04-05					
MS_280326_002	2003-04-26	90	V066	MS_280326_002_V066	Q	26/04/04 9:00 AM	90.0	26/04/04 5:27 PM	P	2026-04-06 13:50:19.990000	N	90.0	-												DONE	2026-04-08					
MS_280326_003	2026-04-03	90	V067	MS_280326_003_V067	T	2026-04-04 08:53:24.620000	90.0	2026-04-04 14:40:47.400000	P	2026-04-06 10:52:43	N	90.0	-												DONE	2026-04-08					
MS_280326_004	2026-04-03	90	V068	MS_280326_004_V068	Q	26/04/06 08:35 AM	90.0	2026-04-06 16:20:32.320000	P	26/04/07 11:05 AM	N														 						
MS_290326_001	2003-04-26	90	V069	MS_290326_001_V069	X	2026-04-06 08:55:27.530000	90.0	2026-04-06 14:44:56.020000	P	2026-04-06 16:28:39.250000	N														 						
MS_010426_001	2026-04-06	89	V070	MS_010426_001_V070	T	26/04/06 01:00 PM	89.0	2026-04-06 16:39:42.910000	P	2026-04-06 17:32:58.980000	N	87.0														2026-04-07					
MS_290326_002	2026-04-06	90	V071	MS_290326_002_V071	X	26/04/06 02:54 PM 	90.0	2026-04-07 13:57:57.740000	P	2026-04-07 16:34:26.930000	N																				
MS_290326_003	2026-04-06	90	V072	MS_290326_003_V072	Q	26/04/06 04:45 PM	90.0	2026-04-07 15:02:23.890000	P	2026-04-08 08:58:04.780000	N																				
MS_300326_003	2026-04-06	90	V073	MS_300326_003_V073	T	2026-04-06 16:43:11.400000	90.0	2026-04-08 15:20:38.990000																							
MS_300326_004	2006-04-26	90	V074	MS_300326_004_V074	T	26/04/07 01:00 PM	90.0	2026-04-07 17:34:11.410000	P	2026-04-08 10:39:08.780000	N																				
MS_310326_001	2026-04-06	90	V075	MS_310326_001_V075	X	2026-04-07 14:32:42.120000	90.0	2026-04-08 11:18:00.580000	P	2026-04-09 09:52:18.520000	N																				
MS_300326_001	2026-04-07	90	V076	MS_300326_001_V076	Q	2026-04-07 16:23:22.210000	90.0	2026-04-08 15:20:43.100000	P	2026-04-09 14:16:38.310000	N																				
MS_310326_002	2026-04-07	90	V077	MS_310326_002_V077	T	2026-04-08 14:58:56.530000	90.0	26/04/09 11:50 PM	H	2026-04-09 14:22:28.950000	N																				
MS_310326_003	2026-04-08	90	V078	MS_310326_003_V078	X	2026-04-08 11:29:56.460000	90.0	2026-04-09 10:34:04.580000	P	2026-04-09 16:51:41.770000																					
MS_310326_004	2026-04-08	90	V079	MS_310326_004_V079	X	2026-04-09 10:46:09.930000	90.0	2026-04-10 09:46:31.140000																							
mtDNA_20260407_mtDNA_315	2026-04-08	16	V080	20260407_mtDNA_315_V080	T	26/04/08 10:20 AM	90.0	2026-04-08 11:18:12.500000	P	2026-04-08 12:02:48.680000	N	15.0														2026-04-08					
MS_300326_002	2008-04-26	90	V081	MS_300326_002_V081	Q	26/04/08 04:04 PM	90.0	26/04/09 2:30 PM	P	2026-04-10 14:45:44.060000	N																				
MS_040426_001	2008-04-26	90	V082	MS_040426_001_V082	PT	26/04/08 01:00 PM	90.0	2026-04-08 15:19:07.490000	P	2026-04-08 16:35:48.930000	N	85.0														2026-04-08					
MS_310326_005	2008-04-26	90	V083	MS_310326_005_V083	T	2026-04-09 13:21:43.160000	90.0	2026-04-09 17:30:05.350000																							
MS_310326_006	2026-04-09	90	V084	MS_310326_006_V084	Q	2026-04-09 15:32:01.200000	90.0	2026-04-10 13:52:48.760000																							
MS_030426_001	2026-04-09	90	V085	MS_030426_001_V085	T	2026-04-10 09:44:37.200000	90.0	2026-04-10 16:15:07.890000																							
MS_030426_002	2026-04-09	90	V086	MS_030426_002_V086	X	2026-04-10 10:17:29.570000																									
mtDNA_nan		90	V087	_V087																											
mtDNA_nan		90	V088	_V088																											
mtDNA_nan		90	V089	_V089																											
mtDNA_nan		90	V090	_V090																											
mtDNA_nan		90	V091	_V091																											
mtDNA_nan		90	V092	_V092																											
mtDNA_nan		90	V093	_V093																											
mtDNA_nan		90	V094	_V094																											
mtDNA_nan		90	V095	_V095																											
mtDNA_nan		90	V096	_V096																											
mtDNA_nan		90	V097	_V097																											
mtDNA_nan		90	V098	_V098																											
mtDNA_nan		90	V099	_V099																											
